content,label
Polecam nie pierwszy i nie ostatni raz!,1
"Bardzo dobra komunikacja sms i telefoniczna. Zamówiony towar wysłany w terminie, dobrze zabezpieczony. Polecam ten sklep.",1
Polecam zakupy w tym sklepie. Są dostępne części nawet do starszych modeli np. lodówek.,1
Jestem w pełni zadowolona z przebiegu transakcji,1
Transakcja przebiegła błyskawicznie. Pełen profesjonalizm. Polecam ten sklep wszystkim,1
Obsługa godna polecenia innym klientom. Tranzakcja przebiegła szybko i bezproblemowo.,1
"Obsługa, czas realizacji, poziom zapakowania paczki - WZORCOWO, Polecam !",1
Wszystko sprawnie bezproblemowo,1
"Transakcja przebiegała b.sprawnie , produkt ok, przesyłka b. szybko polecam",1
"Mimo iż za pierwszym razem nie odebrałam przesyłki z paczkomatu  i wróciła ona do sprzedawcy , to sklep wysłał mi ponownie przesyłkę bez dodatkowych opłat . P O L E C A M !!!!!",1
"Dobry kontakt ze sklepem, szybka wysyłka - następnego dnia po wpłacie miałem produkt, zamawiałem szybę do piekarnika, była bardzo dokładnie zabezpieczona. Polecam!",1
Wszystko ok. Sprawnie i miło. Polecam. Nawet jak zdarzy się błąd reklamacje załatwiają od ręki i bez problemów,1
Transakcja przebiegła pomyślnie,1
"Rzetelna ,konkretna i elastyczna obsługa wyrozumiała dla decyzji kupującego.Bardzo polecam ,w razie potrzeby będę tam wracał .Zachęcam innych .",1
"Transakcja przebiegła szybko,sprawnie. Towar zgodny z opisem!",1
Szybko sprawnie bezproblemowo i zgodnie z zamówieniem !,1
Bezproblemowa transakcja. Towar zgodny z opisem.,1
zamówienie zrealizowane od ręki,1
Bardzo szybka wysyłka. Firma na plus.,1
Transakcja przebiegła bardzo sprawnie.Polecam sklep.,1
Super wszystko prawidłowo igły dotarły na czas są dobrej jakości jak na zamienniki przystało i były prawidłowo bezpiecznie zapakowane więc mogę dalej skreczować Pozdrawiam,1
"Profesjonalizm w każdej postaci, polecam wszystkim zainteresowanym.",1
Polecam zakupy w sklepie. Reklamacja rowniez rozpatrzona szybko i pozytywnie.,1
Profesjonalna i szybka obsługa! Jak najbardziej polecam zakupy w tym sklepie  !!!!!,1
Szybko i profesjonalnie. Przed zakupem udzielono informacji czy płyta zasilania jest zaprogramowana.,1
"Bardzo dobry sklep, godny plecenia.",1
"Błyskawiczna wysyłka, żadnych problemów, towar zgodny z opisem – POLECAM wszystkim kupującym!",1
"Pełna profeska, super szybka przesyłka.",1
super jestem bardzo zadowolony .polecam,1
towar zgodny z deklaracją i oczekiwaniem,1
Szybko sprawnie i z potwierdzeniem ze kupuje to co potrzebje,1
"Jak zwykle - szybko, sprawnie i zgodnie z zamówieniem. Oryginalne części w bardzo dobrej cenie. Polecam!",1
"Profesjonalnie, na wysokim poziomie.",1
"Wszystko super ze strony sprzedawcy, gorąco polecam ten sklep.",1
"Jestem bardzo zadowolona z zakupu. Wszystko przebiegło bez zarzutu. Zamówienie dotarło w niecały tydzień  mimo tego, że na stronie pisało 2-3 tygodnie. Miłe zaskoczenie :) Polecam!",1
polecam kontrahenta; profesjonalna obsługa i szybka realizacja  zamówienia.,1
"tak jak należy   ,bez  zastrzeżeń",1
"Pomyliłem produkty, pozwolono mi je sprawnie wymienić analogicznie do ustawy konsumenckiej mimo, że zakup na działalność gospodarczą. Bardzo elastyczne podejście, szybka i sprawna komunikacja.",1
Profesjonalna obsługa - polecam,1
"Transakcja przebiegła pomyślnie, wszystko OK. Polecam",1
"Bez problemów. Szybko, towar jak w opisie.",1
Wszystko ok. Obsługa pomogła wybrać odpowiedni produkt. Polecam,1
Super kontakt z infolinią i zawsze znajdę to co potrzeba.,1
TRANSAKCJA PRZEBIEGŁA POMYŚLNIE,1
Szybka realizacja zamówienia ; polecam,1
Super pomoc w doborze odpowiedniego towaru. Polecam sklep.,1
"wszystko super, wszystko zadziałało",1
"Bez problemu, miła obsługa i wyczerpująca informacja. Polecam wszystkim.",1
Sprawnie i szybko. Towar zgodny z zamówionym. Polecam,1
"Profesjonalna obsługa, szybka wysyłka.",1
"Profesjonalna obsługa i błyskawiczna dostawa. Towar zamówiony w czwartek późnym wieczorem, w sobotę rano był już u mnie. Polecam!",1
Miła i profesjonalna obsługa. Było trochę kłopotu z zapłatą przelewem terminowym (zakup dla jednostki samorządowej) ale ogarnęliśmy.,1
kupuje od kilku lat. jak zawsze rewelacyjnie. dziekuje :),1
"Bardzo dobra obsługa, szybka dostawa. Polecam",1
Transakcja przebiegla szybko i pozytywnie,1
Wszystko załatwione pomyślnie. Polecam!,1
Jak najbardziej polecam zakupy w tym sklepie.,1
100% Polecam  . Szybko i sprawnie  !!!,1
Rewelacja. Wieczorem kupiłem następnego dnia przesyłka doręczenia.  Polecam,1
"Szybko , sprawnie , dobra wyszukiwarka . Polecam",1
"bez żadnych komplikacji, szybko i sprawnie",1
Wszystko w jak najlepszym porządku,1
"Transakcja przebiegła bez żadnych problemów, zamiast czekać 2-3 tygodnie na szybę dostałam ją już po 2 dniach!",1
Profesjonalna i szybka  obsługa,1
"Profesjonalnie , jestem bardzo zadowolony",1
Super i szybko zrealizowane zamówienie. Produkt zgodny z opisem. I co najważniejsze działa!!! Polecam,1
"Super, pełen profesjonalizm, miła obsługa.",1
Szybko bez jakichkolwiek problemów. Polecam. Kolejny raz dokonałem zakupu i mam do firmy duże zaufanie,1
Wszystko w jak najlepszym porządku. Szybka przesyłka.,1
"Profesjonalna obsługa, natychmiastowa dostawa. Polecam!",1
Profesjonalnie i bardzo szybka dostawa w kilkanaście godzin od zamówienia.Byłem mile zaskoczony.,1
Profesjonalna obsługa. Błyskawiczna realizacja zamówienia.Polecam,1
"Profesjonalna obsługa,polecam zakupy w tym sklepie",1
"Transakcja bez zarzutów, szybko i sprawnie.",1
Profesjonalne podejście do klienta,1
"Wszystko profesjonalnie. Szybkie zamówienie, płatność i wysyłka. Polecam",1
"Profesjonalnie,szybko i skutecznie",1
Polecam jak najbardziej zakupy e tym sklepie :),1
"profesjonalnie i ekspresowo, polecam",1
"Szybko ,sprawnie  i bezproblemowo---polecam",1
"wszystko w jak najlepszym porządku, szybko i profesjonalnie. polecam",1
Profesjonalna obsługa towar zgodny z opisem bardzo szybka transakcja polecam!,1
"Transakcja przebiegła pomyślnie, paczka dostarczona szybko, jedynie opakowanie było zniszczone ale zawartość na szczęście nie była uszkodzona.",1
"Obsługa super, towar wysłany szybko i bezproblemowo. Polecam gorąco wszystkim!!!",1
WSZYSTKO OK !!!!! POLECAM FACHOWOŚĆ 100 %,1
"Wszystko sprawnie. Część zamienna idealnie pasująca, dobrana fachowo.",1
Zamówienie zrealizowane szybko i bez problemów.,1
Wszystko na najwyższym poziomie. Polecam,1
"W innych sklepach informacja, że potrzebne mi części dostępne będą za 2 tygodnie. Zepsuło się teraz, potrzebowałem już. Niech.pl mieli, wysłali natychmiast, super, polecam wszystkim ",1
Szybko i bezproblemowo jak przy poprzednich transakcjach,1
Towar zgodny z zamówieniem szybka przesyłka,1
Profesjonalna obsługa klienta i super sklep. Polecam!!!,1
"Transakcja przebiegła bardzo szybko i sprawnie - idealna komunikacja ze sklepem, szybka i fachowa porada odnośnie wyboru artykułu. Polecam!",1
Szybka i bardzo sprawna obsługa .Serdecznie polecam,1
"Profesjonalna obsługa,polecam zakupy w tym sklepie.Transakcja szybka i przyjemna",1
"ok, śledzenie przesyłki bardzo fajne",1
"szybko i profesjonalnie, polecam",1
Dostawa do innego punktu odbioru.,1
Wszystko bardzo sprawnie. Polecam,1
"Szybko, fachowo i bezproblemowo",1
Transakcja przebiegła rewelacyjnie. Już następnego dnia przesyłka dotarła. naprawdę sprzedawca godny polecenia!!!!!!!!!!!!!,1
Transakcja przebiegła błyskawicznie. Towar dotarł szybko i w idealnym stanie. Polecam!,1
"Wszystko odbyło się bardzo sprawnie, profesjonalnie i szybko.",1
Błyskawiczna transakcja! Zamówienie zgodne z opisem. Dziękuję i szczerze polecam!,1
Dobry konrakt i bardzo szybka dostawa.,1
Zamówienie zostało zrealizowane super szybko! Na paczkę czekałam krócej niż 24 godziny! Polecam :),1
Super wszystko szybko zalatwione i fahowo Czesc przyslana pasowala bezblednie,1
"w środe w nocy zrobione i opłacone zamówienie a w piatek juz mialem u siebie :) 
szybko, sprawnie i tanio, polecam wszystkim",1
"Polecam w 100%, błyskawiczna przesyłka i doskonała jakość towaru",1
Jestem bardzo zadowolona z szybkości i fachowości obsługi,1
"Super, wszystko szybko i profesjonalnie.",1
Transakcja przebiegła bardzo sprawnie i prawidłowo,1
"Bardzo sprawna transakcja, profesjonalna i rzetelna obsługa.",1
"Profesjonalna, miła i wzorowa obsługa. Błyskawiczna dostawa. Polecam ten sklep.",1
"Pełen profesjonalizm, zakupy ok godz 15, wysyłka jeszcze w ten sam dzień! Super",1
Szybko i bezproblemowo - gorąco polecam!!,1
Profesjonalna obsługa. Polecam!!!,1
Przesyłkę otrzymałem o tydzień wcześniej niż oczekiwałem.,1
Bardzo grzecznie zostałam poinformowana o braku towaru. Jednak nie zrezygnowałam z zamówienia i czekałam na dostawę.Zamówienie zostało zrealizowane w niedługim czasie.,1
Szybka i profesjonalna obsługa.,1
"Rzetelna i profesjonalna firma, z dokładnym opisem części.
paczka zabezpieczona idealnie.
Polecam",1
"Szybko sprawnie ,bez problemów  ! ! !",1
Bardzo sprawna i profesjonalna realizacja zamówienia. Szybka dostawa. A co najważniejsze zamówione części pasują! Polecam wszystkim ten sklep,1
"Szybko, sprawnie i profesjonalnie.",1
Transakcja przebiegła pomyślnie. Polecam!!!,1
Wszystko przebiegło zgodnie z oczekiwaniami towar oryginalny :),1
Super towar dostawa błyskawiczna zgodna z zamówieniem  Świetna strona z wyszukiwaniem części pasujących do wybranego urządzenia. Firma zasługująca na duże uznanie.,1
"Dobrze. Można popracować nad opakowaniem, było przyniszczone",1
bardzo szybko i profesjonalnie.polecam.,1
"Profesjonalna obsługa. Transakcja przebiegła ekspresowo, przyjemnie. Polecam sklep - 100% zadowolenia !",1
PROFESJONALNIE SZYBKO POLECAM...,1
"Profesjonalna obsługa, jak najbardziej polecam zakupy w tym sklepie.",1
"Bardzo profesjonalnie, same plusy.",1
sprawnie towar zgodny z zamówieniem,1
"Szybko, sprawnie, produkt w 100 % zgodny",1
"Profesjonalna obsługa , szybka realizacja zamówienia.Polecam tego sprzedawcę.",1
"Bardzo dobra obsługa klienta, po zamówieniu towaru bez problemu domówiłem telefonicznie zapomniane akcesoria.Bardzo dobrze funkcjonujący dział zamówień i reklamacji.Wzór dla innych sklepów.",1
Polecam zakupy w tym sklepie . Towar zgodny z opisem i cenowo dostępny.,1
"Rewelacja: szybko, sprawnie, zgodnie z zamówieniem - polecam!",1
"Transakcja przebiegła sprawnie i bez żadnych problemów, chociaż zamówienie zrealizowano na raty.",1
"Transakcja przebiegła sprawnie po mimo chwilowego braku towaru. Ciągła informacja klienta o realizacji zamówienia,",1
"zlecenie wykonane  z dnia na dzień,  czesc  bardzo  dobrze opisana polecam  sklep",1
zamówienie i sposób doboru częsci OK,1
"Profesjonalnie , szybko . Polecam",1
"Błyskawiczna wysyłka, towar zgodny z opisem, wszystko perfekcyjnie, gorąco polecam!",1
Profesjonalna obsługa. Jestem bardzo zadowolona.,1
"Brak doradztwa w doborze części, reszta bez zarzutów.",1
Szybko i bezproblemowo. Towar zgodny z opisem.,1
"Polecam zakupy w tym sklepie, obsługa na wysokim poziomie, towar zgodny z opisem. Transakcja jak najbardziej pomyślna.",1
Profesjonalna i szybka obsługa. Jestem bardzo zadowolona,1
"Profesjonalna obsługa, towar zgodny z opisem, polecam zakupy w tym sklepie.",1
"szybka i profesjonalna obsługa , polecam",1
Profesjonalne podejście do klienta,1
Profesjonalna obsługa towar według zamówienia bezproblemowa  obsługa gorąco polecam.,1
Polecam. Nie pierwszy raz i nie ostatni raz kupuje w north.pl,1
bez zarzutu wszystko tak jak powinno być,1
Super szybko i sprawnie przebiega zakup w tym sklepie.Polecam potencjalnym klientom.,1
Wszystko przebiegło bezproblemowo,1
"Wszystko w porządku, ekspresowa wysyłka.",1
Cała transakcja przebiegła bardzo sprawnie i bezproblemowo. Polecam.,1
Profesjonalna obsługa i szybką dostawa,1
Towar zgodny z opisem. Szybka wysyłka.,1
